,Point ID,Observed Value [mGal],Time,Voltage [V],Temperature [°C],Altitude,Counter Reading,Remark,Date,Profile,ID,lat,lon,ele,time,cmt,name,x,y,Ele_tiff,minutes,drift factor,Corrected Value [mGal],Reading difference [mGal],abs_Grav,Elevation_corrected_normal,gravity_disturbance_Tomasz_Leo,Theo_Grav,gravity_disturbance_Andrea,gravity_disturbance_comparison,gravity_bouger_corrected,gravity_bouger_corrected1800,gravity_bouger_corrected2000,gravity_bouger_corrected2200,gravity_bouger_corrected2400,gravity_bouger_corrected2600,bouger_rho_delta,regional,residual
67,2005,4872.1984840000005,1900-01-01 15:52:00,12.5,49.9,27,4761.8,,8.12.2022,,28,51.46128796041012,6.279151970520616,26.903744,2022-12-08T14:52:59Z,,2005,310994.3632443242,5704635.306325813,33.7275,174.0,0.0002963526011563441,4872.1469186474,5.024065647399766,981189.5040656474,981189.531095319,-0.02702967158984393,981189.5342962495,-0.030230602133087814,-0.003200930543243885,-3.803455986897461,-2.572935023228638,-2.8558134221239015,-3.138691821019165,-3.421570219914429,-3.7044486188096926,-1.1315135955810547,-3.0713425733059125,-0.7321134135915486
68,2006,4872.711174,1900-01-01 15:58:00,12.5,49.9,25,4762.3,,8.12.2022,,29,51.46239001303911,6.284806989133358,25.200516,2022-12-08T14:57:52Z,,2006,311391.67270757945,5704743.252973112,32.3975,180.0,0.0002963526011563441,4872.657830531792,5.53497753179181,981190.0149775317,981190.0388518912,-0.023874359438195825,981190.0419276163,-0.02695008460432291,-0.0030757251661270857,-3.651382046053186,-2.4693849852774292,-2.741108732530847,-3.012832002947107,-3.2845552733633667,-3.5562790206167847,-1.0868940353393555,-2.8188961111384856,-0.8324859349147005
69,2007,4873.42894,1900-01-01 16:02:00,12.5,49.9,24,4763.0,after disconnected,8.12.2022,,30,51.46363497711718,6.290875989943743,23.740845,2022-12-08T15:02:39Z,,2007,311818.3032355831,5704866.0556018865,30.3825,184.0,0.0002963526011563441,4873.374411121387,6.251558121387461,981190.7315581214,981190.7706179061,-0.03905978472903371,981190.7735040109,-0.041945889475755394,-0.002886104746721685,-3.4409505394287407,-2.3324691322632134,-2.587292578537017,-2.8421157863922417,-3.0969389942474663,-3.35176244052127,-1.0192933082580566,-2.7035674129522818,-0.737383126476459
70,3007,4872.711174,1900-01-01 16:11:00,12.5,49.9,24,4762.3,,8.12.2022,,41,51.45703498274088,6.293671019375324,23.543646,2022-12-08T15:11:04Z,,3007,311985.2881686866,5704125.054824098,29.435001,193.0,0.0002963526011563441,4872.653977947977,5.531124947977332,981190.0111249479,981190.4801883647,-0.46906341682188213,981190.4829845264,-0.4718595785088837,-0.002796161687001586,-3.7648638642858714,-2.690951243741438,-2.9378279603552073,-3.1847042001318187,-3.431580678327009,-3.6784571565221995,-0.9875059127807617,-2.8222890149712043,-0.9425748493146671
71,3008,4873.42894,1900-01-01 16:18:00,12.5,49.9,22,4763.0,,8.12.2022,,42,51.4578109793365,6.298980033025146,22.079338,2022-12-08T15:18:08Z,,3008,312357.2397686631,5704197.713451011,26.7575,200.0,0.0002963526011563441,4873.369669479768,6.246816479768313,981190.7268164797,981191.374993754,-0.6481772742699832,981191.377538767,-0.6507222872460261,-0.0025450129760429263,-3.644181140465662,-2.667955049080774,-2.8923751197289675,-3.1167947135400027,-3.341214545769617,-3.565634377999231,-0.897679328918457,-2.881235702000879,-0.7629454384647829
72,4002,4872.608636,1900-01-01 16:31:00,12.3,49.9,23,4762.2,,8.12.2022,,47,51.452017994597554,6.305740037932992,22.670425,2022-12-08T15:30:48Z,,4002,312803.0811585212,5703536.315891799,28.295,213.0,0.0002963526011563441,4872.545512895954,5.422659895953984,981189.902659896,981190.3889366988,-0.4862768028397113,981190.3916246548,-0.4889647588133812,-0.0026879559736698866,-3.654432711424306,-2.62211221200414,-2.8594273899216205,-3.096742329420522,-3.3340575073380023,-3.571372685255483,-0.9492604732513428,-3.132203153604962,-0.5222295578193439
73,4003,4872.044677,1900-01-01 16:41:00,12.2,49.9,25,4761.65,,8.12.2022,,48,51.449656980112195,6.296764025464654,24.90033,2022-12-08T15:41:03Z,,4003,312169.8383142763,5703296.79423618,28.6875,223.0,0.0002963526011563441,4871.978590369942,4.85573736994229,981189.33573737,981190.0593013455,-0.7235639755381271,981190.0620253104,-0.7262879404006526,-0.002723964862525463,-3.935667580808513,-2.8890269462717697,-3.1296342079294845,-3.3702412311686203,-3.610848254407756,-3.8514552776468918,-0.9624283313751221,-2.9212349277598264,-1.0144326530486865
74,4004,4871.480718000001,1900-01-01 16:49:00,12.1,49.9,28,4761.1,,8.12.2022,,49,51.45018998533487,6.288440963253379,27.893066,2022-12-08T15:48:56Z,,4004,311593.81437773176,5703377.440110177,32.072502,231.0,0.0002963526011563441,4871.412260549134,4.289407549134012,981188.769407549,981189.0617614622,-0.29235391318798065,981189.0648035549,-0.2953960058512166,-0.0030420926632359624,-3.8834720104932785,-2.7133324593305588,-2.9823301285505295,-3.2513277977705,-3.520325228571892,-3.7893231362104416,-1.0759906768798828,-3.0039315916740748,-0.8795404188192038
75,4005,4870.916759,1900-01-01 16:54:00,12.0,49.9,31,4760.55,,8.12.2022,,50,51.449442990124226,6.283019967377186,30.720749,2022-12-08T15:53:24Z,,4005,311214.12991529,5703308.348943809,33.39,236.0,0.0002963526011563441,4870.846819786127,3.7239667861267662,981188.2039667862,981188.5892109862,-0.38524420000612736,981188.5923773416,-0.3884105554316193,-0.003166355425491929,-4.123880932107568,-2.905673334375024,-3.1857212278991938,-3.4657688830047846,-3.7458165381103754,-4.025864431634545,-1.1201910972595215,-3.2271542577448713,-0.8967266743626965
76,8023,4859.791386,1900-01-01 18:44:00,13.0,49.9,,4749.7,Base Station II (new battery,8.12.2022,,118,51.41468499787152,6.243488984182477,2.53746,2022-12-08T11:58:59Z,,8023,308322.35969827947,5699546.502641427,23.7575,346.0,0.0002963526011563441,4859.688848,-7.43400500000007,981177.0459949999,981188.4917397653,-11.44574476534035,981188.4939976997,-11.448002699762583,-0.0022579344222322106,-14.105842364369892,-13.239068997441791,-13.438327324925922,-13.637585652410053,-13.836843741475604,-14.036102068959735,-0.7970330715179443,-10.5669668910935,-3.5388754732763914
